"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Число умерших(Человек)"	"2014 год"	"201412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"11 109"
"Число умерших(Человек)"	"2012 год"	"201212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"12 763"
"Число умерших(Человек)"	"2021 год"	"202112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"14 889"
"Число умерших(Человек)"	"2020 год"	"202012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"12 745"
"Число умерших(Человек)"	"2019 год"	"201912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"11 088"
"Число умерших(Человек)"	"2018 год"	"201812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"11 050"
"Число умерших(Человек)"	"2022 год"	"202212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"9 462"
"Число умерших(Человек)"	"2017 год"	"201712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"10 986"
"Число умерших(Человек)"	"2023 год"	"202312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 798"
"Число умерших(Человек)"	"2024 год"	"202412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 883"
"Число умерших(Человек)"	"2009 год"	"200912"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 629"
"Число умерших(Человек)"	"2011 год"	"201112"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 669"
"Число умерших(Человек)"	"2000 год"	"200012"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 657"
"Число умерших(Человек)"	"2005 год"	"200512"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 310"
