"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 273"
"Число зарегистрированных браков(Человек)"	"2000 год"	"200012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 929"
"Число зарегистрированных браков(Человек)"	"2005 год"	"200512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 669"
"Число зарегистрированных браков(Человек)"	"2002 год"	"200212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 724"
"Число зарегистрированных браков(Человек)"	"2001 год"	"200112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 386"
"Число зарегистрированных браков(Человек)"	"2007 год"	"200712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 387"
"Число зарегистрированных браков(Человек)"	"2003 год"	"200312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 604"
"Число зарегистрированных браков(Человек)"	"2008 год"	"200812"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 394"
"Число зарегистрированных браков(Человек)"	"2006 год"	"200612"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 117"
"Число зарегистрированных браков(Человек)"	"2004 год"	"200412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 410"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 870"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 895"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 465"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 145"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 917"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 481"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 226"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 800"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 684"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 289"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 450"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 529"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"9 539"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"9 912"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 280"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"11 762"
"Число зарегистрированных браков(Человек)"	"2000 год"	"200012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"7 153"
"Число зарегистрированных браков(Человек)"	"2005 год"	"200512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 009"
"Число зарегистрированных браков(Человек)"	"2002 год"	"200212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"7 598"
"Число зарегистрированных браков(Человек)"	"2001 год"	"200112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"7 164"
"Число зарегистрированных браков(Человек)"	"2007 год"	"200712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 065"
"Число зарегистрированных браков(Человек)"	"2003 год"	"200312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"8 421"
"Число зарегистрированных браков(Человек)"	"2008 год"	"200812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"9 703"
